Product_ID,Product_Name,Category,Sub_Category,Brand,Unit_Cost,Selling_Price,Weight_KG,Shelf_Life_Days,Package_Type,Reorder_Level,Maximum_Stock,Minimum_Stock
PRD0001,Nextron Classic Wearables 001,Electronics,Wearables,Nextron,544.67,858.79,0.96,1116,Carton,275,1048,170
PRD0002,Nextron Ultra Home 002,Electronics,Home Appliances Electronics,Nextron,7696.05,11343.77,2.17,1646,Carton,323,972,170
PRD0003,Sonic Smart Home 003,Electronics,Home Appliances Electronics,Sonic,5277.36,7009.89,3.2,695,Carton,366,1294,172
PRD0004,Nextron Pro Mobile 004,Electronics,Mobile Accessories,Nextron,1446.13,2223.82,0.84,824,Blister Pack,222,827,116
PRD0005,Voltek Compact Mobile 005,Electronics,Mobile Accessories,Voltek,7929.33,13345.14,1.92,898,Carton,209,882,100
PRD0006,Nextron Everyday Audio 006,Electronics,Audio Devices,Nextron,5119.41,8414.77,0.35,830,Box,270,1144,124
PRD0007,Sonic Standard Audio 007,Electronics,Audio Devices,Sonic,701.7,1118.68,4.24,486,Carton,263,785,72
PRD0008,Sonic Compact Computer 008,Electronics,Computer Peripherals,Sonic,2848.67,4389.36,0.52,529,Carton,425,1134,278
PRD0009,Pixelan Compact Computer 009,Electronics,Computer Peripherals,Pixelan,6873.35,11034.23,0.24,1536,Carton,309,786,126
PRD0010,Wavetech Essential Computer 010,Electronics,Computer Peripherals,Wavetech,6035.39,7636.77,2.49,1716,Box,200,911,109
PRD0011,Voltek Advanced Audio 011,Electronics,Audio Devices,Voltek,1278.89,2121.22,3.05,563,Blister Pack,421,1413,233
PRD0012,Wavetech Pro Mobile 012,Electronics,Mobile Accessories,Wavetech,743.18,1157.27,3.23,1488,Carton,476,1438,298
PRD0013,Voltek Smart Computer 013,Electronics,Computer Peripherals,Voltek,1702.65,2045.78,1.37,565,Carton,325,1267,167
PRD0014,Wavetech Essential Home 014,Electronics,Home Appliances Electronics,Wavetech,1122.48,1675.18,4.25,494,Carton,234,1083,178
PRD0015,Pixelan Heavy-Duty Computer 015,Electronics,Computer Peripherals,Pixelan,6465.66,7816.95,3.73,1119,Box,348,887,242
PRD0016,Voltek Heavy-Duty Computer 016,Electronics,Computer Peripherals,Voltek,446.69,724.05,3.74,1402,Box,268,627,159
PRD0017,Nextron Elite Mobile 017,Electronics,Mobile Accessories,Nextron,5907.52,8376.43,4.4,806,Blister Pack,220,957,72
PRD0018,Voltek Everyday Home 018,Electronics,Home Appliances Electronics,Voltek,2965.56,4490.25,3.55,457,Box,211,1071,89
PRD0019,Sonic Deluxe Mobile 019,Electronics,Mobile Accessories,Sonic,4031.45,5592.76,3.49,904,Blister Pack,272,1220,114
PRD0020,Pixelan Signature Mobile 020,Electronics,Mobile Accessories,Pixelan,4838.99,7409.64,2.46,454,Blister Pack,219,1055,132
PRD0021,Voltek Heavy-Duty Computer 021,Electronics,Computer Peripherals,Voltek,4446.57,6417.92,3.81,1334,Box,369,869,182
PRD0022,Nextron Smart Mobile 022,Electronics,Mobile Accessories,Nextron,6171.03,8308.1,3.78,1391,Blister Pack,360,1009,197
PRD0023,Nextron Everyday Audio 023,Electronics,Audio Devices,Nextron,1580.11,2620.47,2.91,931,Blister Pack,147,751,75
PRD0024,Sonic Deluxe Audio 024,Electronics,Audio Devices,Sonic,3437.5,5310.18,3.21,1762,Box,309,946,117
PRD0025,Pixelan Classic Mobile 025,Electronics,Mobile Accessories,Pixelan,5079.56,9002.43,3.63,971,Blister Pack,196,1191,62
PRD0026,Pixelan Everyday Wearables 026,Electronics,Wearables,Pixelan,7065.65,11907.42,0.94,1751,Box,345,894,289
PRD0027,Voltek Ultra Wearables 027,Electronics,Wearables,Voltek,1445.8,2246.19,2.62,1558,Carton,348,822,155
PRD0028,Wavetech Portable Audio 028,Electronics,Audio Devices,Wavetech,4351.75,6710.06,4.78,1637,Blister Pack,266,949,104
PRD0029,Wavetech Pro Mobile 029,Electronics,Mobile Accessories,Wavetech,1459.94,2055.81,0.86,507,Carton,355,866,239
PRD0030,Nextron Advanced Wearables 030,Electronics,Wearables,Nextron,7366.69,9453.77,3.87,1753,Carton,282,1048,86
PRD0031,Wavetech Standard Home 031,Electronics,Home Appliances Electronics,Wavetech,3830.87,6233.29,4.62,622,Box,365,1218,258
PRD0032,Sonic Advanced Audio 032,Electronics,Audio Devices,Sonic,5731.54,9154.47,4.19,1647,Blister Pack,252,1192,127
PRD0033,Pixelan Smart Home 033,Electronics,Home Appliances Electronics,Pixelan,2671.03,4534.27,3.13,1138,Box,174,629,62
PRD0034,Voltek Signature Wearables 034,Electronics,Wearables,Voltek,4524.68,7165.04,1.79,461,Blister Pack,455,907,265
PRD0035,Voltek Portable Wearables 035,Electronics,Wearables,Voltek,5281.63,8842.17,4.22,1710,Blister Pack,267,1003,70
PRD0036,Wavetech Compact Home 036,Electronics,Home Appliances Electronics,Wavetech,3392.47,5651.87,3.69,1699,Carton,285,1040,154
PRD0037,Voltek Pro Mobile 037,Electronics,Mobile Accessories,Voltek,1428.43,2500.31,2.75,1725,Box,229,621,142
PRD0038,Wavetech Advanced Wearables 038,Electronics,Wearables,Wavetech,2024.06,2797.56,2.95,739,Blister Pack,328,1251,208
PRD0039,Sonic Standard Audio 039,Electronics,Audio Devices,Sonic,5487.41,6819.77,4.21,714,Blister Pack,374,914,219
PRD0040,Voltek Pro Audio 040,Electronics,Audio Devices,Voltek,2601.42,3629.09,1.57,578,Blister Pack,288,1050,234
PRD0041,Comfora Portable Office 041,Furniture,Office Furniture,Comfora,15412.04,23106.45,26.14,3234,Flat Pack,312,985,152
PRD0042,Formline Heavy-Duty Office 042,Furniture,Office Furniture,Formline,12489.12,21065.71,6.56,1900,Wooden Crate,377,710,296
PRD0043,Formline Ultra Outdoor 043,Furniture,Outdoor Furniture,Formline,2709.29,4721.95,12.87,3577,Wooden Crate,385,1070,277
PRD0044,Formline Advanced Office 044,Furniture,Office Furniture,Formline,1896.26,3316.23,27.03,3118,Wooden Crate,348,792,211
PRD0045,SolidBase Portable Home 045,Furniture,Home Furniture,SolidBase,20850.45,29220.41,5.65,2797,Carton,264,1103,151
PRD0046,Woodcraft Pro Home 046,Furniture,Home Furniture,Woodcraft,5654.6,8551.85,52.99,2192,Flat Pack,233,901,80
PRD0047,Formline Premium Modular 047,Furniture,Modular Storage,Formline,12876.83,21397.74,10.66,2283,Wooden Crate,344,851,160
PRD0048,Comfora Pro Office 048,Furniture,Office Furniture,Comfora,7416.94,11742.86,47.75,2379,Wooden Crate,406,808,263
PRD0049,Formline Standard Office 049,Furniture,Office Furniture,Formline,5085.25,8645.35,40.28,2817,Flat Pack,256,601,188
PRD0050,Formline Heavy-Duty Outdoor 050,Furniture,Outdoor Furniture,Formline,4073.06,6379.61,34.12,2206,Wooden Crate,393,1366,238
PRD0051,Comfora Classic Modular 051,Furniture,Modular Storage,Comfora,16354.69,25411.2,39.55,1859,Wooden Crate,242,753,105
PRD0052,Comfora Classic Seating 052,Furniture,Seating,Comfora,22235.83,38586.71,59.0,3512,Flat Pack,140,592,73
PRD0053,Formline Essential Seating 053,Furniture,Seating,Formline,23174.66,32867.69,9.86,2635,Carton,244,1187,177
PRD0054,Formline Advanced Outdoor 054,Furniture,Outdoor Furniture,Formline,11360.73,14287.36,32.1,2343,Wooden Crate,411,1217,226
PRD0055,Formline Compact Modular 055,Furniture,Modular Storage,Formline,4700.76,7761.1,9.53,2509,Carton,157,872,94
PRD0056,Comfora Classic Modular 056,Furniture,Modular Storage,Comfora,8754.8,15003.76,18.8,3004,Wooden Crate,298,896,248
PRD0057,Woodcraft Compact Office 057,Furniture,Office Furniture,Woodcraft,12033.12,19935.1,52.13,2339,Carton,222,713,103
PRD0058,Formline Elite Office 058,Furniture,Office Furniture,Formline,7133.73,10213.62,9.7,3371,Wooden Crate,322,934,172
PRD0059,Formline Compact Seating 059,Furniture,Seating,Formline,24842.68,34260.02,11.03,2435,Wooden Crate,312,765,202
PRD0060,Comfora Essential Outdoor 060,Furniture,Outdoor Furniture,Comfora,4249.99,6940.78,53.08,2650,Wooden Crate,309,671,148
PRD0061,SolidBase Classic Outdoor 061,Furniture,Outdoor Furniture,SolidBase,20307.79,35524.26,23.2,1939,Carton,431,837,271
PRD0062,UrbanNest Essential Seating 062,Furniture,Seating,UrbanNest,11911.99,19388.08,57.21,2167,Carton,317,1225,160
PRD0063,UrbanNest Smart Modular 063,Furniture,Modular Storage,UrbanNest,6512.18,8635.29,29.45,2315,Flat Pack,314,1096,165
PRD0064,Woodcraft Deluxe Outdoor 064,Furniture,Outdoor Furniture,Woodcraft,2782.35,3428.72,22.09,2670,Flat Pack,130,525,73
PRD0065,Formline Classic Modular 065,Furniture,Modular Storage,Formline,22681.48,39472.42,49.82,2194,Wooden Crate,238,889,132
PRD0066,Woodcraft Smart Modular 066,Furniture,Modular Storage,Woodcraft,2664.7,3523.64,18.04,1955,Carton,371,1117,220
PRD0067,Woodcraft Deluxe Outdoor 067,Furniture,Outdoor Furniture,Woodcraft,13843.79,19805.93,52.7,3632,Wooden Crate,256,907,202
PRD0068,UrbanNest Compact Modular 068,Furniture,Modular Storage,UrbanNest,998.67,1644.97,9.96,2394,Wooden Crate,356,1343,284
PRD0069,Comfora Classic Seating 069,Furniture,Seating,Comfora,8192.81,11949.03,48.64,2930,Carton,232,631,117
PRD0070,UrbanNest Standard Office 070,Furniture,Office Furniture,UrbanNest,18648.5,31990.91,53.78,2951,Carton,266,757,161
PRD0071,Formline Deluxe Outdoor 071,Furniture,Outdoor Furniture,Formline,5795.14,9576.72,57.01,2707,Flat Pack,245,814,153
PRD0072,SolidBase Smart Seating 072,Furniture,Seating,SolidBase,18207.45,28699.05,7.01,3600,Wooden Crate,373,719,215
PRD0073,Comfora Portable Outdoor 073,Furniture,Outdoor Furniture,Comfora,22590.23,31120.14,43.02,3464,Carton,304,1240,252
PRD0074,Comfora Pro Outdoor 074,Furniture,Outdoor Furniture,Comfora,11989.84,20793.2,28.36,2978,Wooden Crate,407,1140,290
PRD0075,SolidBase Portable Modular 075,Furniture,Modular Storage,SolidBase,11867.42,14275.68,23.67,3068,Flat Pack,187,622,52
PRD0076,Woodcraft Portable Modular 076,Furniture,Modular Storage,Woodcraft,7170.68,12638.95,32.17,2368,Wooden Crate,392,717,204
PRD0077,Formline Standard Home 077,Furniture,Home Furniture,Formline,14212.66,24492.46,58.69,2485,Flat Pack,232,1223,152
PRD0078,SolidBase Pro Seating 078,Furniture,Seating,SolidBase,22293.39,37701.86,6.75,2482,Flat Pack,414,1358,232
PRD0079,SolidBase Everyday Outdoor 079,Furniture,Outdoor Furniture,SolidBase,2518.29,3534.46,40.78,2386,Wooden Crate,174,962,114
PRD0080,SolidBase Essential Outdoor 080,Furniture,Outdoor Furniture,SolidBase,8285.77,11610.78,46.6,2312,Carton,344,766,170
PRD0081,ClipLine Ultra Printing 081,Office Supplies,Printing Supplies,ClipLine,972.96,1665.56,0.28,1562,Poly Bag,327,1289,241
PRD0082,DeskEdge Signature Desk 082,Office Supplies,Desk Accessories,DeskEdge,1299.96,2176.46,2.93,1396,Poly Bag,396,1260,277
PRD0083,ClipLine Premium Desk 083,Office Supplies,Desk Accessories,ClipLine,233.38,386.32,0.24,1480,Poly Bag,295,1069,230
PRD0084,ClipLine Ultra Writing 084,Office Supplies,Writing Instruments,ClipLine,447.05,590.51,0.22,2024,Pack,298,689,142
PRD0085,OfficeMate Everyday Stationery 085,Office Supplies,Stationery,OfficeMate,636.05,855.0,2.26,1794,Poly Bag,402,1297,240
PRD0086,InkWell Advanced Stationery 086,Office Supplies,Stationery,InkWell,692.67,855.66,2.31,1561,Pack,224,1047,166
PRD0087,OfficeMate Ultra Stationery 087,Office Supplies,Stationery,OfficeMate,433.78,612.66,1.85,2352,Pack,276,1048,132
PRD0088,ClipLine Signature Stationery 088,Office Supplies,Stationery,ClipLine,720.84,1239.08,2.36,892,Box,232,1110,58
PRD0089,ClipLine Everyday Writing 089,Office Supplies,Writing Instruments,ClipLine,1149.11,1580.7,0.65,1075,Box,216,879,142
PRD0090,OfficeMate Advanced Desk 090,Office Supplies,Desk Accessories,OfficeMate,230.09,328.74,0.98,2383,Pack,109,796,51
PRD0091,ClipLine Compact Writing 091,Office Supplies,Writing Instruments,ClipLine,703.69,1189.4,1.95,2017,Box,335,1172,149
PRD0092,DeskEdge Pro Desk 092,Office Supplies,Desk Accessories,DeskEdge,994.68,1369.29,1.41,2366,Poly Bag,190,1133,122
PRD0093,PaperPro Compact Filing 093,Office Supplies,Filing & Storage,PaperPro,1056.31,1626.02,1.74,2195,Poly Bag,179,1139,69
PRD0094,DeskEdge Signature Writing 094,Office Supplies,Writing Instruments,DeskEdge,736.21,1120.56,2.97,1860,Pack,265,759,205
PRD0095,ClipLine Smart Stationery 095,Office Supplies,Stationery,ClipLine,1251.04,2119.74,0.41,2332,Poly Bag,348,1345,185
PRD0096,ClipLine Pro Writing 096,Office Supplies,Writing Instruments,ClipLine,69.28,111.36,1.21,1174,Poly Bag,309,660,256
PRD0097,InkWell Premium Stationery 097,Office Supplies,Stationery,InkWell,1017.59,1805.32,1.45,2226,Pack,473,1116,298
PRD0098,OfficeMate Deluxe Filing 098,Office Supplies,Filing & Storage,OfficeMate,1205.94,1517.71,1.15,1566,Box,362,914,196
PRD0099,ClipLine Ultra Filing 099,Office Supplies,Filing & Storage,ClipLine,757.01,965.45,1.32,1132,Box,150,723,84
