Shipment_ID,Shipment_Date,Product_ID,Warehouse_ID,Supplier_ID,Order_Quantity,Delivered_Quantity,Inventory_Before,Inventory_After,Shipping_Cost,Delivery_Days,Expected_Delivery_Days,Delivery_Status,Late_Delivery_Days,Transport_Mode,Distance_KM,Order_Priority,Returned_Units,Damage_Units,Order_Value,Warehouse_Handling_Cost,Fuel_Cost,Shipment_Status,Year,Quarter,Month,Month_Name,Week,Day
SHP000001,03-07-2026,PRD0009,WH014,SUP024,312,312,557,262,480.69,1,1,On Time,0,Air,6314,Medium,17,5,3442679.76,381.88,7145.43,Completed,2026,3,7,July,27,3
SHP000002,25-09-2025,PRD0281,WH010,SUP028,143,142,966,833,2477.3,2,3,On Time,0,Air,3930.9,High,9,4,2085145.04,305.99,3051.53,Completed,2025,3,9,September,39,25
SHP000003,26-07-2024,PRD0324,WH019,SUP028,529,529,590,87,14827.46,10,12,On Time,0,Sea,4511.1,Low,26,6,7335172.19,473.79,1286.73,Completed,2024,3,7,July,30,26
SHP000004,31-01-2026,PRD0360,WH014,SUP060,319,267,1098,848,30348.93,2,3,On Time,0,Air,1716.3,Medium,17,4,8344647.12,440.19,1635.39,Completed,2026,1,1,January,5,31
SHP000005,16-03-2026,PRD0344,WH005,SUP039,162,142,684,546,48915.1,2,2,On Time,0,Air,2952.7,Low,4,4,1478592.04,324.59,2598.75,Completed,2026,1,3,March,12,16
SHP000006,30-08-2024,PRD0080,WH005,SUP075,264,264,346,86,14943.05,19,20,On Time,0,Sea,4788.4,High,4,0,3065245.92,272.63,1082.31,Completed,2024,3,8,August,35,30
SHP000007,16-01-2026,PRD0395,WH026,SUP024,588,588,679,100,6999.8,18,18,On Time,0,Sea,7018.4,Low,9,8,395118.36,183.48,2086.4,Completed,2026,1,1,January,3,16
SHP000008,19-01-2024,PRD0351,WH018,SUP013,25,25,323,298,1434.36,6,8,On Time,0,Rail,702,Medium,0,0,840968,477.44,198.66,Completed,2024,1,1,January,3,19
SHP000009,01-04-2025,PRD0355,WH017,SUP049,23,21,496,475,59588.81,8,3,Late,5,Air,12183,Medium,0,0,515013.03,337.55,13112.44,Completed,2025,2,4,April,14,1
SHP000010,16-06-2024,PRD0054,WH006,SUP025,186,186,497,311,98944.64,1,1,On Time,0,Air,12466.6,Low,14,4,2657448.96,458.63,11897.12,Returned,2024,2,6,June,24,16
SHP000011,14-04-2026,PRD0067,WH008,SUP071,243,243,441,206,5330.42,8,10,On Time,0,Rail,1534.2,Medium,8,6,4812840.99,371.53,294.38,Completed,2026,2,4,April,16,14
SHP000012,26-11-2024,PRD0227,WH016,SUP033,471,449,482,34,1543.98,10,12,On Time,0,Sea,5986.8,High,1,3,1918374.95,291.62,1600.19,Completed,2024,4,11,November,48,26
SHP000013,02-09-2025,PRD0015,WH029,SUP022,106,106,573,468,2878.56,2,3,On Time,0,Air,2837.4,Medium,1,0,828596.7,402.43,2428.43,Completed,2025,3,9,September,36,2
SHP000014,09-06-2026,PRD0291,WH017,SUP011,261,261,269,17,14727.66,15,17,On Time,0,Sea,13864.3,Low,9,0,2089889.64,269.06,3763.57,Completed,2026,2,6,June,24,9
SHP000015,19-01-2025,PRD0241,WH030,SUP034,450,405,456,73,51205.98,1,3,On Time,0,Air,6958.9,High,22,4,2685640.05,197.82,5966.88,Completed,2025,1,1,January,3,19
SHP000016,24-03-2026,PRD0281,WH015,SUP068,104,95,902,808,684.62,4,6,On Time,0,Road,879.4,High,1,1,1394991.4,325.99,365.42,Completed,2026,1,3,March,13,24
SHP000017,12-03-2024,PRD0144,WH020,SUP072,87,87,880,793,410.4,2,4,On Time,0,Road,979.5,High,0,1,756001.29,257.8,376.1,Completed,2024,1,3,March,11,12
SHP000018,05-06-2024,PRD0229,WH002,SUP070,61,61,561,503,366.4,9,10,On Time,0,Sea,6053.7,Low,3,0,195692.27,353.38,1844.23,Completed,2024,2,6,June,23,5
SHP000019,23-04-2024,PRD0364,WH011,SUP021,296,279,603,334,6703.05,12,13,On Time,0,Sea,4521.3,Low,10,3,2216133.27,373.94,996.72,Completed,2024,2,4,April,17,23
SHP000020,15-03-2025,PRD0317,WH006,SUP044,546,546,840,296,5179.04,1,2,On Time,0,Air,1950.8,Low,2,12,1727298.3,152.3,1824.31,Completed,2025,1,3,March,11,15
SHP000021,16-07-2024,PRD0059,WH020,SUP026,156,156,547,400,1357.27,9,8,Late,1,Rail,1331.3,Low,9,1,5344563.12,207.91,298.97,Completed,2024,3,7,July,29,16
SHP000022,20-05-2026,PRD0138,WH021,SUP013,471,471,672,201,1351.9,5,5,On Time,0,Road,1280.9,Medium,29,9,2949048.75,489.28,556.79,Returned,2026,2,5,May,21,20
SHP000023,11-02-2025,PRD0094,WH027,SUP072,574,574,650,78,832.79,1,2,On Time,0,Air,579.5,Medium,2,16,643201.44,535.52,534.18,Completed,2025,1,2,February,7,11
SHP000024,28-09-2025,PRD0087,WH018,SUP012,464,464,1017,558,350.54,8,10,On Time,0,Rail,729.5,High,5,3,284274.24,331.84,161.32,Completed,2025,3,9,September,39,28
SHP000025,18-03-2026,PRD0387,WH024,SUP061,336,285,708,437,6101.02,7,3,Late,4,Air,3495.4,High,14,6,3029766.6,600.28,3067.78,Completed,2026,1,3,March,12,18
SHP000026,03-06-2024,PRD0156,WH022,SUP072,528,528,1072,559,273.31,8,8,On Time,0,Rail,456,Medium,15,10,3205672.8,213.52,122.59,Completed,2024,2,6,June,23,3
SHP000027,16-10-2025,PRD0365,WH007,SUP022,415,368,385,17,1895.24,11,11,On Time,0,Sea,3170.1,Medium,8,5,2827056.96,170.92,673.42,Returned,2025,4,10,October,42,16
SHP000028,27-05-2025,PRD0389,WH009,SUP011,349,339,536,219,8313.3,8,10,On Time,0,Sea,14220.3,Low,22,7,1442736.54,385.4,2955.52,Completed,2025,2,5,May,22,27
SHP000029,03-03-2025,PRD0386,WH011,SUP027,456,417,479,84,1079.68,1,3,On Time,0,Air,2767.3,Medium,22,4,191269.56,286.73,3085.3,Completed,2025,1,3,March,10,3
SHP000030,02-02-2025,PRD0142,WH028,SUP030,285,285,512,229,765.59,10,4,Late,6,Road,770,High,2,4,288154.95,341.18,299.46,Completed,2025,1,2,February,5,2
SHP000031,04-05-2026,PRD0246,WH005,SUP049,179,179,831,656,34088.78,15,17,On Time,0,Sea,13988.4,Low,4,4,1637740.81,546.77,3639.44,Completed,2026,2,5,May,19,4
SHP000032,10-07-2024,PRD0212,WH027,SUP028,494,474,557,96,1190.36,18,18,On Time,0,Sea,4370.1,High,13,2,2529742.74,437.76,1133.75,Completed,2024,3,7,July,28,10
SHP000033,15-11-2024,PRD0101,WH001,SUP010,256,256,360,122,433.74,11,6,Late,5,Rail,1459.5,High,18,2,462645.76,445.44,234.33,Completed,2024,4,11,November,46,15
SHP000034,14-01-2025,PRD0005,WH022,SUP046,498,498,722,224,322.81,3,4,On Time,0,Road,349.9,Low,25,5,6645879.72,539.18,139.13,Returned,2025,1,1,January,3,14
SHP000035,31-10-2025,PRD0092,WH019,SUP070,52,45,481,436,2310.39,1,3,On Time,0,Air,4791,High,0,0,61618.05,272.64,4405.14,In Transit,2025,4,10,October,44,31
SHP000036,22-02-2025,PRD0324,WH022,SUP055,303,303,366,63,103352.13,2,3,On Time,0,Air,12641.5,Medium,0,6,4201431.33,262.57,11016.62,In Transit,2025,1,2,February,8,22
SHP000037,13-07-2025,PRD0136,WH016,SUP014,147,127,691,570,605.83,8,8,On Time,0,Rail,1093.1,High,6,2,1099190.08,429.59,169.94,Completed,2025,3,7,July,28,13
SHP000038,30-11-2024,PRD0050,WH018,SUP027,593,593,947,391,20893.76,5,2,Late,3,Air,3104.8,Medium,37,13,3783108.73,128.72,3201.82,Completed,2024,4,11,November,48,30
SHP000039,16-01-2024,PRD0194,WH015,SUP058,32,32,831,799,721.16,1,3,On Time,0,Road,849,Low,0,0,345532.16,284.39,374.27,In Transit,2024,1,1,January,3,16
SHP000040,13-07-2024,PRD0318,WH016,SUP050,277,277,780,503,1464,4,2,Late,2,Air,956.4,Low,0,3,4103694.06,621.53,1112.65,Cancelled,2024,3,7,July,28,13
SHP000041,28-01-2025,PRD0271,WH012,SUP055,60,60,588,530,68399.25,3,3,On Time,0,Air,12920.8,High,2,0,679046.4,279.89,11492.83,Completed,2025,1,1,January,5,28
SHP000042,10-08-2024,PRD0184,WH027,SUP024,195,195,644,453,12056.51,10,10,On Time,0,Sea,7436.7,Low,4,1,3402414.6,595.25,2071.23,Completed,2024,3,8,August,32,10
SHP000043,14-07-2026,PRD0252,WH025,SUP071,247,202,538,336,1310.82,3,3,On Time,0,Road,755.3,Medium,9,0,295128.06,468.24,324.83,Returned,2026,3,7,July,29,14
SHP000044,14-01-2026,PRD0337,WH023,SUP032,108,108,555,447,18499.52,10,4,Late,6,Road,1457.1,Medium,0,0,874559.16,308.49,583.67,In Transit,2026,1,1,January,3,14
SHP000045,18-08-2024,PRD0003,WH026,SUP042,46,40,990,951,1657.53,1,1,On Time,0,Air,1390,Low,1,0,280395.6,202.79,1633.9,Completed,2024,3,8,August,33,18
SHP000046,02-02-2026,PRD0378,WH003,SUP025,193,193,261,72,12849.69,12,12,On Time,0,Sea,15371.9,Medium,4,1,409165.79,459,3686.96,Completed,2026,1,2,February,6,2
SHP000047,15-12-2024,PRD0106,WH021,SUP011,344,344,573,241,8036.51,1,1,On Time,0,Air,13237.2,High,12,8,607297.6,250.87,14249.86,Completed,2024,4,12,December,50,15
SHP000048,14-01-2025,PRD0064,WH020,SUP027,424,424,680,278,4790.05,17,18,On Time,0,Sea,3052.5,High,22,1,1453777.28,406.44,687.23,Completed,2025,1,1,January,3,14
SHP000049,11-01-2025,PRD0182,WH018,SUP057,135,135,895,767,1138.56,8,10,On Time,0,Sea,4756.7,High,7,0,286128.45,304.74,1348.4,Completed,2025,1,1,January,2,11
SHP000050,28-06-2024,PRD0284,WH013,SUP034,477,477,594,152,8050.97,1,1,On Time,0,Air,6002.5,Medium,35,1,4888801.62,141.56,6005.86,Completed,2024,2,6,June,26,28
SHP000051,15-08-2024,PRD0313,WH020,SUP010,560,560,947,416,623.55,7,8,On Time,0,Rail,692.2,Low,29,5,1253151.2,361.61,185.74,Completed,2024,3,8,August,33,15
SHP000052,03-05-2026,PRD0239,WH020,SUP004,318,318,582,286,2421.31,1,2,On Time,0,Air,3004.7,High,22,9,264820.86,559.66,2622.83,Completed,2026,2,5,May,18,3
SHP000053,24-01-2026,PRD0370,WH006,SUP027,88,80,155,80,14276.55,1,1,On Time,0,Air,3155.7,Medium,5,0,75363.2,524.15,2502.93,Completed,2026,1,1,January,4,24
SHP000054,08-11-2024,PRD0304,WH012,SUP028,575,469,586,117,5759.98,2,2,On Time,0,Air,3649.7,High,0,0,607575.43,230.49,4059.94,Cancelled,2024,4,11,November,45,8
SHP000055,17-02-2025,PRD0168,WH012,SUP018,488,488,743,284,40169.34,3,3,On Time,0,Air,4964,Low,29,12,4712908.8,393.43,4276.83,Completed,2025,1,2,February,8,17
SHP000056,19-08-2024,PRD0366,WH016,SUP054,65,65,582,520,41117.17,1,1,On Time,0,Air,11789.7,Medium,3,0,749873.15,300.29,13396.75,Completed,2024,3,8,August,34,19
SHP000057,09-07-2026,PRD0295,WH001,SUP058,101,101,1021,924,439.82,6,6,On Time,0,Rail,872.9,High,4,2,1273426.18,236.12,136.99,Completed,2026,3,7,July,28,9
SHP000058,13-03-2026,PRD0173,WH022,SUP058,306,306,854,548,5392.36,3,4,On Time,0,Road,1489.4,Medium,0,1,5632765.38,406.74,556.97,Cancelled,2026,1,3,March,11,13
